pathName,bundleName,bundleCrc,fileLength,DependId
$demo/beach_sea_05.fbx,$demo.unity3d,1279047953,47952,14;6;5;45;
$demo/brdf.cg,$demo.unity3d,1279047953,7942,
$demo/burn_noise.png,$demo.unity3d,1279047953,304416,
$demo/colorbuffer.cg,$demo.unity3d,1279047953,5181,
$demo/commonbrdf.cg,$demo.unity3d,1279047953,13918,
$demo/df_beach_grass01_01.png,$demo.unity3d,1279047953,537459,
$demo/df_beach_grass01_01_nrm.png,$demo.unity3d,1279047953,641576,
$demo/df_city_natural_flower01_01_t01.png,$demo.unity3d,1279047953,25330,
$demo/df_city_natural_flower02_01_t01.tga,$demo.unity3d,1279047953,262188,
$demo/diffuseanisohair.shader,$demo.unity3d,1279047953,3340,
$demo/diffuseanisopbr.shader,$demo.unity3d,1279047953,4475,
$demo/diffuselambert.shader,$demo.unity3d,1279047953,4141,
$demo/diffuseoitgrass.shader,$demo.unity3d,1279047953,888,
$demo/diffusepbr.shader,$demo.unity3d,1279047953,5746,
$demo/diffusepbrbump.shader,$demo.unity3d,1279047953,6955,
$demo/diffusepbrbumptemp.shader,$demo.unity3d,1279047953,6152,
$demo/diffusetreeleaf.shader,$demo.unity3d,1279047953,782,
$demo/fog_noise.jpg,$demo.unity3d,1279047953,27644,
$demo/grass.cg,$demo.unity3d,1279047953,2446,
$demo/grass.mat,$demo.unity3d,1279047953,3529,370;13;
$demo/hair.mat,$demo.unity3d,1279047953,3942,9;
$demo/lightcommon.cg,$demo.unity3d,1279047953,5617,
$demo/pbrshader.shader,$demo.unity3d,1279047953,12127,
$demo/raindone.fbx,$demo.unity3d,1279047953,64944,46;
$demo/raintexture_05.tif,$demo.unity3d,1279047953,16649052,
$demo/sky.jpg,$demo.unity3d,1279047953,1672954,
$demo/water.prefab,$demo.unity3d,1279047953,3168,261;
$demo/water_noise.jpg,$demo.unity3d,1279047953,65536,
$demo/caustics/c1_001.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_002.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_003.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_004.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_005.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_006.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_007.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_008.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_009.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_010.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_011.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_012.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_013.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_014.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_015.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/c1_016.bmp,$demo.unity3d,1279047953,786486,
$demo/caustics/gausitic.png,$demo.unity3d,1279047953,2317242,
$demo/materials/df_beach_sand01_01.mat,$demo.unity3d,1279047953,3308,14;6;5;
$demo/materials/lambert1.mat,$demo.unity3d,1279047953,2849,
$demo/tree/cardia_natural_palmtree01_01.png,$demo.unity3d,1279047953,141644,
$demo/tree/cardia_natural_palmtree01_02.fbx,$demo.unity3d,1279047953,306384,49;16;50;51;13;47;
$demo/tree/cardia_natural_palmtree01_02.png,$demo.unity3d,1279047953,162416,
$demo/tree/materials/cardia_natural_palmtree01_01.mat,$demo.unity3d,1279047953,2996,16;47;
$demo/tree/materials/cardia_natural_palmtree01_02.mat,$demo.unity3d,1279047953,2881,49;13;
$font/yh.otf,$font.unity3d,3639880706,5995300,
$ngr/lutify.txt,$ngr.unity3d,2385044161,6709,
$ngr/cubemaps/citydiff.cubemap.png,$ngr.unity3d,2385044161,28634,
$ngr/cubemaps/cityspec.cubemap.png,$ngr.unity3d,2385044161,43488,
$ngr/cubemaps/default.cubemap.png,$ngr.unity3d,2385044161,210187,
$ngr/cubemaps/defaultdiff.cubemap.png,$ngr.unity3d,2385044161,26158,
$ngr/cubemaps/diffuse.cubemap.png,$ngr.unity3d,2385044161,28510,
$ngr/cubemaps/forest.cubemap.png,$ngr.unity3d,2385044161,68345,
$ngr/cubemaps/forestdiff.cubemap.png,$ngr.unity3d,2385044161,28843,
$ngr/cubemaps/pirate.jpg,$ngr.unity3d,2385044161,17255,
$ngr/cubemaps/spec.cubemap.png,$ngr.unity3d,2385044161,57244,
$ngr/effect/rainfall.prefab,$ngr.unity3d,2385044161,34348,249;92;
$ngr/mat/grass.mat,$ngr.unity3d,2385044161,3354,139;
$ngr/mat/grass2.mat,$ngr.unity3d,2385044161,3355,139;228;
$ngr/mat/ground.mat,$ngr.unity3d,2385044161,3578,
$ngr/mat/pbr0.mat,$ngr.unity3d,2385044161,1207,261;
